"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"183" "02/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.3
"184" "03/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"185" "04/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"186" "05/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"187" "06/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"188" "07/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"189" "08/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"190" "09/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"191" "10/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"192" "11/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"193" "16/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"194" "17/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"195" "18/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"196" "19/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"197" "20/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"198" "21/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"199" "22/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"200" "23/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"201" "24/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"202" "25/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"203" "26/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"204" "27/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"205" "29/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"206" "30/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"207" "31/10/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"208" "01/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"209" "02/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"210" "03/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"211" "05/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"212" "06/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"213" "08/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"214" "09/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"215" "10/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"216" "11/11/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
